periodicity,periodicity_label.value,seasonadj,seasonadj_label.value,geo_level,geo_level_label.value,geography,geography_label.value,ind_level,industry,industry_label.value,ownercode,ownercode_label.value,sex,sex_label.value,agegrp,agegrp_label.value,race,race_label.value,ethnicity,ethnicity_label.value,education,education_label.value,firmage,firmage_label.value,firmsize,firmsize_label.value,year,quarter,EarnS,sEarnS
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,1,Male,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,1,2877,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,2,Female,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,1,1810,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,1,Male,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,2,2888,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,2,Female,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,2,1831,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,1,Male,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,3,2922,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,2,Female,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,3,1851,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,1,Male,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,4,3414,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,2,Female,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1992,4,2001,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,1,Male,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1993,1,2794,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,2,Female,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1993,1,1801,1
Q,Quarterly data,U,Not seasonally adjusted,S,States,06,California,A,00,All NAICS Sectors,A05,All Private,1,Male,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,1993,2,2939,1
