Year,Male,Female
1992,5775577,4710095
1993,5671627,4659394
1994,5739682,4689060
1995,5876545,4777413
1996,6076015,4932226
1997,6288454,5116458
1998,6512548,5315180
1999,6694429,5476962
2000,6925387,5668781
2001,6971943,5734957
2002,6788819,5650124
2003,6743333,5697850
2004,6815908,5769857
2005,6930447,5895508
2006,7053375,6039370
2007,7082645,6119921
2008,6980834,6101327
2009,6476204,5812377
2010,6327223,5696275
2011,6455475,5775926
2012,6675893,5921949
2013,6923266,6114913
2014,7141449,6296467
2015,7376518,6488080
2016,7561852,6680814
2017,7686658,6818843
2018,7841489,6976595
2019,7951400,7123233
2020,7508134,6666612
2021,7638428,6830573
2022,8084979,7310680
